date,day_hosp,Ille_et_Vilaine
3/18/2020,13,7
3/19/2020,17,16
3/20/2020,20,20
3/21/2020,20,20
3/22/2020,17,27
3/23/2020,20,34
3/24/2020,22,33
3/25/2020,33,41
3/26/2020,41,50
3/27/2020,41,53
3/28/2020,48,65
3/29/2020,50,84
3/30/2020,54,91
3/31/2020,49,94
4/1/2020,56,106
4/2/2020,66,128
4/3/2020,74,129
4/4/2020,79,131
4/5/2020,82,136
4/6/2020,93,156
4/7/2020,94,154
4/8/2020,102,162
4/9/2020,109,173
4/10/2020,110,171
4/11/2020,116,172
4/12/2020,123,182
4/13/2020,121,184
4/14/2020,120,190
4/15/2020,115,196
4/16/2020,107,193
4/17/2020,101,194
4/18/2020,101,181
4/19/2020,101,177
4/20/2020,97,175
4/21/2020,86,172
4/22/2020,82,171
4/23/2020,79,171
4/24/2020,80,164
4/25/2020,76,158
4/26/2020,75,157
4/27/2020,73,156
4/28/2020,68,150
4/29/2020,64,150
4/30/2020,64,150
5/1/2020,59,142
5/2/2020,59,138
5/3/2020,58,136
5/4/2020,57,136
5/5/2020,57,132
5/6/2020,57,130
5/7/2020,57,118
5/8/2020,55,114
5/9/2020,55,112
5/10/2020,56,112
5/11/2020,56,110
5/12/2020,52,103
5/13/2020,51,92
5/14/2020,49,92
5/15/2020,40,83
5/16/2020,38,82
5/17/2020,37,84
5/18/2020,37,85
5/19/2020,35,86
5/20/2020,33,89
5/21/2020,30,88
5/22/2020,30,94
5/23/2020,30,93
5/24/2020,28,94
5/25/2020,28,90
5/26/2020,27,84
5/27/2020,29,81
5/28/2020,28,76
5/29/2020,26,78
5/30/2020,26,70
5/31/2020,26,70
6/1/2020,26,70
6/2/2020,26,70
6/3/2020,26,61
6/4/2020,25,61
6/5/2020,24,59
6/6/2020,24,60
6/7/2020,24,60
6/8/2020,21,59
6/9/2020,21,59
6/10/2020,21,61
6/11/2020,20,58
6/12/2020,19,57
6/13/2020,19,55
6/14/2020,19,55
6/15/2020,19,58
6/16/2020,19,56
6/17/2020,19,55
6/18/2020,18,54
6/19/2020,18,53
6/20/2020,18,51
6/21/2020,18,51
6/22/2020,17,50
6/23/2020,17,49
